30 20
(R,5) (0,0) (0,0) (0,0) (0,0) (0,0) (S,4) (F,2) (0,0) (R,5) (S,2) (0,0) (F,1) (R,4) (0,0) (F,4) (F,2) (0,0) (0,0) (0,0) (F,2) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (S,2) (F,1) (F,1)
(0,0) (R,3) (0,0) (0,0) (0,0) (F,4) (0,0) (0,0) (0,0) (R,1) (F,4) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (F,3) (0,0) (0,0) (F,1) (0,0) (0,0) (F,5) (F,2) (0,0) (F,3) (R,5) (0,0) (0,0)
(0,0) (0,0) (0,0) (F,3) (F,1) (0,0) (0,0) (0,0) (0,0) (R,5) (S,3) (F,2) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (F,4) (S,3) (0,0) (0,0) (0,0) (0,0) (F,5) (F,5) (0,0) (F,1) (0,0) (0,0)
(0,0) (0,0) (0,0) (F,5) (S,3) (0,0) (R,5) (F,1) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (F,3) (0,0) (0,0) (0,0) (0,0)
(0,0) (F,1) (0,0) (F,5) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (M,4) (0,0) (R,3) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (F,1) (0,0)
(S,5) (V,4) (R,5) (F,3) (F,4) (0,0) (M,4) (0,0) (0,0) (S,1) (0,0) (0,0) (V,1) (0,0) (S,2) (0,0) (F,1) (0,0) (0,0) (F,3) (M,3) (R,5) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0)
(0,0) (R,2) (0,0) (0,0) (0,0) (0,0) (R,2) (F,5) (0,0) (0,0) (F,4) (F,1) (0,0) (F,4) (0,0) (M,5) (R,3) (S,3) (R,2) (0,0) (0,0) (S,4) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (F,2) (R,2)
(0,0) (F,2) (0,0) (F,2) (0,0) (0,0) (R,2) (0,0) (0,0) (R,2) (0,0) (0,0) (0,0) (F,3) (F,1) (F,5) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (F,1) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (M,1)
(M,3) (0,0) (R,5) (F,1) (0,0) (F,4) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (F,3) (R,5) (0,0) (0,0) (0,0) (F,4) (0,0) (0,0) (0,0) (F,4) (0,0) (R,3) (0,0)
(M,3) (0,0) (V,2) (F,1) (0,0) (R,5) (R,1) (0,0) (F,2) (V,5) (0,0) (0,0) (0,0) (R,5) (F,1) (R,4) (0,0) (0,0) (0,0) (0,0) (V,2) (R,5) (F,1) (0,0) (0,0) (R,2) (0,0) (F,4) (F,3) (M,5)
(F,2) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (M,3) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (F,3) (0,0) (0,0) (0,0) (R,4) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0)
(0,0) (0,0) (0,0) (0,0) (F,1) (0,0) (F,2) (S,4) (0,0) (0,0) (R,5) (0,0) (0,0) (R,4) (M,2) (0,0) (0,0) (M,4) (F,5) (V,5) (0,0) (0,0) (0,0) (0,0) (R,4) (V,3) (0,0) (F,1) (0,0) (0,0)
(R,4) (S,4) (R,5) (0,0) (0,0) (R,1) (V,3) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (F,5) (0,0) (0,0) (0,0) (S,3) (F,2) (0,0) (V,4) (0,0) (F,3) (V,3) (0,0) (0,0)
